product_category,product_image,product_image_url,product_name,product_price,product_url,site_name
bottom,z_6369,http://static.id.zalora.net/p/dust-jeans-6369-9406122-4.jpg,3609 High Rise,275400,https://www.zalora.co.id/dust-jeans-3609-high-rise-navy-2216049.html,Zalora
bottom,z_6257,http://static.id.zalora.net/p/lois-jeans-6257-7814251-4.jpg,Long Pants Denim,344625,https://www.zalora.co.id/lois-jeans-long-pants-denim-black-1524187.html,Zalora
bottom,z_7103,http://static.id.zalora.net/p/ra-jeans-7103-7281332-4.jpg,Cherryl,449900,https://www.zalora.co.id/ra-jeans-cherryl-blue-2331827.html,Zalora
bottom,z_3042432,http://static.id.zalora.net/p/x8-1336-3042432-1.jpg,Adele Jeans,399920,https://www.zalora.co.id/x8-adele-jeans-black-2342403.html,Zalora
bottom,z_8290,http://static.id.zalora.net/p/emba-ladies-8290-7316122-4.jpg,Xavera,224950,https://www.zalora.co.id/emba-ladies-xavera-navy-2216137.html,Zalora
bottom,z_8489,http://static.id.zalora.net/p/hush-puppies-8489-8717512-4.jpg,Yara,299500,https://www.zalora.co.id/hush-puppies-yara-blue-2157178.html,Zalora
bottom,z_3852,http://static.id.zalora.net/p/hush-puppies-3852-8218522-4.jpg,Minna,299500,https://www.zalora.co.id/hush-puppies-minna-blue-2258128.html,Zalora
bottom,z_3467,http://static.id.zalora.net/p/logo-jeans-3467-2970651-4.jpg,Skinny Rigid 88 Series,244950,https://www.zalora.co.id/logo-jeans-skinny-rigid-88-series-blue-1560792.html,Zalora
bottom,z_8688,http://static.id.zalora.net/p/logo-jeans-8688-1087702-4.jpg,Skinny D1 Series Middle Waist,384930,https://www.zalora.co.id/logo-jeans-skinny-d1-series-middle-waist-blue-2077801.html,Zalora
bottom,z_2954,http://static.id.zalora.net/p/denim-addict-2954-3796802-4.jpg,Women Slim Fit Denim Pants With Zipped Pocket,179000,https://www.zalora.co.id/denim-addict-women-slim-fit-denim-pants-with-zipped-pocket-blue-2086973.html,Zalora
